ID,Product Name,Price
156,SAMANDAĞ KOOP. TATLI PUL BİBER 100 GR,"74,00 TL"
157,SAMANDAĞ KOOP. TATLI BİBER SALÇASI 700 GR,"189,90 TL"
158,SAMANDAĞ KOOP. KURU NANE 40 GR,"40,75 TL"
159,SAMANDAĞ KOOP. KEKİK 40 GR,"54,50 TL"
160,SAMANDAĞ KOOP. ÇİLEK REÇELİ 430 GR,"164,90 TL"
161,SAMANDAĞ KOOP. CEVİZ REÇELİ 750 GR,"299,00 TL"
162,ROLL SİYEZ BUĞDAYLI EKMEK 50 GR,"4,50 TL"
163,POLATLI ZİRAAT ODASI YEŞİL MERCİMEK 2000 GR,"142,00 TL"
164,POLATLI ZİRAAT ODASI PİLAVLIK BULGUR 2000 GR,"64,00 TL"
165,POLATLI ZİRAAT ODASI DERMASON FASULYE 2000 GR,"149,95 TL"
166,KONURCA KOOP. YEŞİL IZGARA ZEYTİN (290-320) 1150 GR,"259,00 TL"
167,KONURCA KOOP. GEMLİK YAĞLI SELE SİYAH 1000 GR (350-380),"204,00 TL"
168,KONURCA KOOP. GEMLİK YAĞLI SELE SİYAH (290-320),"241,50 TL"
169,KONURCA KOOP. EDREMİT YEŞİL ÇİZİK (320-350) 900 GR,"216,00 TL"
170,KONURCA KOOP. DOMAT BİBERLİ ZEYTİN (200-230) 900 GR,"259,00 TL"
171,GÜDÜL LEBLEBI 250 GR,"63,50 TL"
172,FİSKOBİRLİK NUGA SÜTLÜ 350 GR,"135,00 TL"
173,FİSKOBİRLİK SÜTLÜ FINDIK DRAJE 100 GR,"195,00 TL"
174,FİSKOBİRLİK KAKAOLU FINDIK KREMASI 700 GR,"225,00 TL"
175,FİSKOBİRLİK FINDIK YAĞI 1 LT,"229,00 TL"
176,FİSKOBİRLİK BİTTER FINDIKLI 65 GR,"120,00 TL"
177,FİSKOBİRLİK BEYOĞLU SÜTLÜ ÇİKOLATA 60 GR,"113,00 TL"
178,FİSKOBİRLİK BEYOĞLU BİTTER 60 GR,"113,00 TL"
179,FİSKOBİRLİK BEYAZ FINDIKLI DRAJE 100 GR,"110,75 TL"
180,FİSKOBİRLİK ANTEP FISTIKLI KROKAN 30 GR,"99,00 TL"
181,EFELER KOOP. MARİNE ENGİNAR 360 GR,"241,50 TL"
182,EFELER KOOP. KESTANE ŞEKERİ 500 GR,"366,00 TL"
183,EFELER KOOP. BEBEK ENGİNAR 640 GR,"310,00 TL"
184,EFELER DİYARI CEVİZLİ İNCİR REÇELİ 400 GR,"216,00 TL"
185,EFELER DİYARI KURU DOLMALIK BİBER 32'Lİ,"222,00 TL"
