product_name,price (TL)
Polonez Tütsülenmiş Piliç Jumbo Sosis  320 Gr,119.9
Polonez Hindi Fıstıklı Salam 90 Gr,76.9
Pınar Dana Sucuk Aç Bitir 75 g,109.9
Pınar Hindi Sucuk Mangal Keyfi 300 Gr,187.99
Namet Hindi Kokteyl Sosis 7/24 140 G,60.9
Aytaç Macar Salam 60 G,58.32
Pınar Klasik Sucuk 225 Gr,314.9
Erşan Dilimli Secme Pastırma 120 G,299.9
Pınar Dana Kokteyl Sosis 215 Gr,254.9
Apikoğlu Kavurma 100 Gr,249.9
Pınar Aç Bitir Hindi Fıstıklı Salam 50 g,44.5
Pınar Aç-Bitir Kokteyl Sosis 180 G,79.9
Cumhuriyet Parmak Sucuk Kg,2190.0
Başyazıcı Dana Kasap Sucuk 400 g,479.9
Beşler Kokteyl Piliç Sosis 220 G,74.9
Pınar Dana Sosis 10'lu 430 g,529.9
Başyazıcı Efsane Parmak Sucuk 300 Gr,605.9
Banvit Bi'Dilim Piliç Salam 60 G,28.99
Polonez  Zeytinyağlı&Kekikli Hindi Füme 150 Gr,131.5
Polonez Dana Fıstıklı Salam 90 Gr,149.9
Polonez Hindi Parça Etli Salam 50 Gr,43.49
Maret Pratik Macar Salam 50 G,69.9
Namet Piliç Füme 150 G,109.9
Namet Dilimli Pastırma Çemeni Sıyrılmış 130 G,569.9
Banvit Kokteyl Sosis Kg,155.0
Namet Dilimli Pastırma Çemeni Sıyrılmış 130 G,569.9
Maret 10'lu Soyulmuş Sosis 432 G,379.9
Maret Kokteyl Sosis 250 G,254.9
Namet Lüx Antrikot Pastırma Kg,2499.9
Başyazıcı Evlik Sucuk Kg,1499.9
Apikoğlu Çemeni Sıyrılmış Çerezlik Pastırma 100 Gr,524.9
Namet Dana Fermente Kangal Sucuk 240 Gr,476.9
Erşan Dana Bacon 100 g,278.5
Beşler Hünkar Piliç Dilimli Isıl İşlem Görmüş Sucuk 260 G,121.9
Namet Piliç Füme 7/24 50 G,39.9
Beşler Kokteyl Sosis 400 Gr,129.9
Sultan Dilimli Piliç Füme Et 50 Gr,32.5
Pınar Doyum Salam 700 Gr,199.9
Banvit Piliç Macar Salam 250 G,53.9
Beşler Vakumlu Sucuk 220 G,310.9
Pınar Aç Bitir Dana Macar Salam Büyük Dilim 50 g,67.9
Polonez Füme Piliç 150 G,99.9
Namet Dana Kavurma Kare Kg,1699.9
Polonez Biberli Füme Hindi But Eti,1250.0
Fümeci Fermente Kangal Sucuk Kg,2929.9
Namet Dana Sosis kg,959.9
Polonez Dana Fermente Kangal Sucuk Kg,1399.9
Namet Fıstıklı Macar Salam Kg,1439.9
Polonez Hindi Füme But Eti,1250.0
Namet Dilli Salam Kg,2099.9
Namet Hindi Göğüs Füme Kg,1129.9
Apikoğlu Dana Kangal Sucuk Kg,2390.0
Polonez Kangal Sucuk Acılı 240 G,567.9
Apikoğlu Kurutulmuş Dana Füme Et 100 Gr,561.9
Namet Dana Uzun Sosis Kg,959.9
Erşan Kare Kavurma,1599.9
Erşan Fermente Kangal Sucuk kg,999.9
Erşan Fermente Kangal Sucuk Acılı Kg,999.9
Erşan Kuru Et 100 Gr,427.5
Apikoğlu Kangal Fermente Sucuk 280 G,723.9
Erşan Dana Kavurma 90 g,205.5
Apikoğlu Dana Tavalık Sucuk 200 Gr,561.9
Erşan Dana Antrikot Füme 100 g,335.5
Apikoğlu Dana Sucuk 100 g,348.9
Polonez Macar Fıstıklı Salam Kg,1849.9
Başyazıcı Seçme Pastırma 120 G,542.9
Polonez Etli Hindi Salam,699.0
Beşler Bi Lokma Dana Jambon 50 G,75.9
Beşler Bi Lokma Hindi Füme 55 g,37.9
Polonez Extra Dana Sosis Kg,1499.9
Polonez Sebzeli Tavuk Jambon,779.9
Polonez Dana Füme Et Kg,3199.9
Polonez Tavuk Jambon,779.9
Polonez Dana Baton Sucuk,2729.9
Polonez Biberli Salam,1690.0
Polonez Kavurma,3299.9
Polonez Antrikot Pastırma Kg,3499.9
Aytaç Dana Mangal Fermente Sucuk 350 G,430.32
Namet Dilimli Jambon Tavuk 150 G,106.9
Fümeci Dana Sosis  Jalapeno&Cheddar Peynirli Kg,2549.9
Aytaç Kasap Isıl İşlem Görmiş Piliç Sucuk 300 Gr,207.12
Polonez Fıstıklı Hindi Salam,699.0
Sultan Blok Kavurma kg,2699.9
Çoşkun Çatal Sucuk Kg,1479.9
Erşan Hindi Füme Dilimli 100 g,82.5
Polonez Dana Etli Fıstıklı Macar Salam,1690.0
Polonez Kasap Sucuk Kg,1749.9
Sultan Dilim Dana Seçme Pastırma 100 Gr,429.9
Namet Macar Salam Kg,1439.9
Apikoğlu Dana Parmak Sucuk Kg,2390.0
Polonez Dana Fermente Parmak Sucuk Kg,1399.9
Polonez Dana Acılı Fermente Kangal Sucuk Kg,1399.9
Namet Hindi Fıstıklı Salam 7/24 50 G,60.5
Sultan Dilimli Hindi Salam 50 Gr,36.5
Sultan Dilimli Macar Salam 50 Gr,60.9
Dana Kangal Sucuk 200 g,237.52
Namet Seçme Dana Pastırma Kg,2399.9
Maret Pratik Hindi Salam 60 G,61.9
Polonez Füme Piliç Göğüs Kg,999.9
Maret Pratik Hindi Füme 60 G,70.9
Apikoğlu Dana Pastırma (Parça) 80 g,316.9
Aytaç Şipşak Hindi Salam Dilimli 50 G,26.8
Namet Hindi Füme Jambon Kg,679.9
Namet Fermente Parmak Sucuk Kg,1629.9
